ensembl_id,gene_symbol,protein_name,biotype,association_score
ENSG00000179915,NRXN1,neurexin 1,protein_coding,0.387348953
ENSG00000188938,FAM120AOS,family with sequence similarity 120 member A opposite strand,protein_coding,0.387120115
ENSG00000143207,COP1,COP1 E3 ubiquitin ligase,protein_coding,0.386965417
ENSG00000112246,SIM1,SIM bHLH transcription factor 1,protein_coding,0.385212751
ENSG00000136560,TANK,TRAF family member associated NFKB activator,protein_coding,0.383649795
ENSG00000149972,CNTN5,contactin 5,protein_coding,0.383601787
ENSG00000153250,RBMS1,RNA binding motif single stranded interacting protein 1,protein_coding,0.383138395
ENSG00000172575,RASGRP1,RAS guanyl releasing protein 1,protein_coding,0.38292157
ENSG00000008196,TFAP2B,transcription factor AP-2 beta,protein_coding,0.382663135
ENSG00000146555,SDK1,sidekick cell adhesion molecule 1,protein_coding,0.382010879
ENSG00000014824,SLC30A9,solute carrier family 30 member 9,protein_coding,0.37929727
ENSG00000248483,POU5F2,"POU domain class 5, transcription factor 2",protein_coding,0.379276186
ENSG00000131558,EXOC4,exocyst complex component 4,protein_coding,0.378567588
