feature,shap_value,absolute_shap_value
Feature_845,0.0006365544420896185,0.0006365544420896185
Feature_166,0.0006353048541890871,0.0006353048541890871
Feature_731,0.0006290973932132715,0.0006290973932132715
Feature_165,-0.0006176037928889855,0.0006176037928889855
Feature_145,0.000616470967915177,0.000616470967915177
Feature_408,-0.0006121133043053817,0.0006121133043053817
Feature_367,-0.0006099280943277563,0.0006099280943277563
Feature_8,0.0006081845401786268,0.0006081845401786268
Feature_997,0.0006075456648704857,0.0006075456648704857
Feature_269,-0.000600591864965736,0.000600591864965736
Feature_471,-0.0005877730420138505,0.0005877730420138505
Feature_842,0.0005865979498310026,0.0005865979498310026
Feature_220,-0.0005849770222451411,0.0005849770222451411
Feature_974,0.0005698671168374858,0.0005698671168374858
Feature_755,0.000563127539604693,0.000563127539604693
Feature_786,0.000554067040100108,0.000554067040100108
Feature_700,-0.0005463295229967002,0.0005463295229967002
Feature_917,0.0005374947977543343,0.0005374947977543343
Feature_225,0.0005238868494870985,0.0005238868494870985
Feature_111,0.0005230290063036591,0.0005230290063036591
Feature_382,0.0005126125217046251,0.0005126125217046251
Feature_726,0.0005111241029658231,0.0005111241029658231
Feature_329,0.0005062659567568062,0.0005062659567568062
Feature_75,0.0005048160152318815,0.0005048160152318815
Feature_675,0.0004999619297396407,0.0004999619297396407
Feature_690,0.0004990129346560935,0.0004990129346560935
Feature_714,-0.0004965227292101559,0.0004965227292101559
Feature_843,0.0004916876240588408,0.0004916876240588408
Feature_531,0.0004854111815438955,0.0004854111815438955
Feature_311,0.0004854012332556579,0.0004854012332556579
Feature_132,0.0004806532108477768,0.0004806532108477768
Feature_704,0.0004792665643935834,0.0004792665643935834
Feature_78,-0.00047871643141434106,0.00047871643141434106
Feature_219,0.00047127882289260014,0.00047127882289260014
Feature_995,0.0004710868809615931,0.0004710868809615931
Feature_624,0.0004700848334334751,0.0004700848334334751
Feature_940,0.0004678496053543313,0.0004678496053543313
Feature_393,0.00046726021048812074,0.00046726021048812074
Feature_246,0.00046033836339574917,0.00046033836339574917
Feature_290,0.000458672045408548,0.000458672045408548
Feature_105,0.0004566103196066251,0.0004566103196066251
Feature_353,0.00045607832758662423,0.00045607832758662423
Feature_719,-0.00045271384885040787,0.00045271384885040787
Feature_461,0.0004523282884383661,0.0004523282884383661
Feature_231,0.0004504801155883342,0.0004504801155883342
Feature_851,0.00044954202311600964,0.00044954202311600964
Feature_956,0.00044776267342967914,0.00044776267342967914
Feature_574,-0.00044749894784843034,0.00044749894784843034
Feature_515,0.0004460942870349527,0.0004460942870349527
Feature_185,0.00044560174733362603,0.00044560174733362603
Feature_695,0.0004413552426080969,0.0004413552426080969
Feature_928,0.0004405282927820053,0.0004405282927820053
Feature_46,0.00044048788484360554,0.00044048788484360554
Feature_562,-0.0004402292146518505,0.0004402292146518505
Feature_785,-0.0004392725697834976,0.0004392725697834976
Feature_839,-0.0004351724956279668,0.0004351724956279668
Feature_22,0.0004258463157248116,0.0004258463157248116
Feature_1010,0.0004253421611053909,0.0004253421611053909
Feature_689,0.00042496499313983806,0.00042496499313983806
Feature_925,0.00042224039756547424,0.00042224039756547424
Feature_163,0.0004209710720488147,0.0004209710720488147
Feature_953,-0.0004207714287258568,0.0004207714287258568
Feature_641,0.0004205249305050529,0.0004205249305050529
Feature_671,-0.00041898991655671126,0.00041898991655671126
Feature_899,-0.00041733866479262363,0.00041733866479262363
Feature_343,0.0004166087362909821,0.0004166087362909821
Feature_751,-0.00041578518809842535,0.00041578518809842535
Feature_211,0.0004074343832326122,0.0004074343832326122
Feature_581,-0.0003983396860121502,0.0003983396860121502
Feature_623,0.00039799305474389255,0.00039799305474389255
Feature_516,0.0003958233333651151,0.0003958233333651151
Feature_438,0.00039541157479106915,0.00039541157479106915
Feature_631,0.00039420422654075083,0.00039420422654075083
Feature_961,0.0003935833965124402,0.0003935833965124402
Feature_782,0.0003881012601345901,0.0003881012601345901
Feature_262,0.00038790377808709306,0.00038790377808709306
Feature_640,0.0003844719163691934,0.0003844719163691934
Feature_758,-0.0003834912960962811,0.0003834912960962811
Feature_26,0.00038170644290175915,0.00038170644290175915
Feature_446,-0.0003817018654626736,0.0003817018654626736
Feature_696,-0.0003815512277137145,0.0003815512277137145
Feature_274,0.0003809124161398358,0.0003809124161398358
Feature_355,0.000378242121932999,0.000378242121932999
Feature_201,0.0003774862178170224,0.0003774862178170224
Feature_1011,-0.0003722785075291313,0.0003722785075291313
Feature_732,-0.0003720562954640627,0.0003720562954640627
Feature_9,0.00037033416970643884,0.00037033416970643884
Feature_362,0.0003694220107993829,0.0003694220107993829
Feature_474,-0.0003647724878101144,0.0003647724878101144
Feature_873,0.0003646735389929745,0.0003646735389929745
Feature_773,0.0003631546293172505,0.0003631546293172505
Feature_321,0.0003630083844393539,0.0003630083844393539
Feature_685,-0.00036293567098937273,0.00036293567098937273
Feature_647,0.0003619588179105904,0.0003619588179105904
Feature_429,-0.00036029318726093606,0.00036029318726093606
