feature,importance
Feature_724,0.0008604902007511358
Feature_922,0.0008564652877184559
Feature_372,0.0008519620008106318
Feature_228,0.0008519167107155199
Feature_930,0.0008511149053318213
Feature_804,0.0008507052891280028
Feature_896,0.0008499111417880342
Feature_252,0.0008485413565532653
Feature_60,0.000847869462684655
Feature_541,0.0008446528303363928
Feature_601,0.0008434829486397077
Feature_751,0.00084139240588062
Feature_499,0.0008407600488956079
Feature_877,0.0008395966512278506
Feature_592,0.0008339985359948586
Feature_855,0.0008311990685323802
Feature_163,0.0008295463763286392
Feature_811,0.0008295106226707798
Feature_918,0.0008293040430624062
Feature_873,0.0008259219489489961
Feature_314,0.0008253323261516902
Feature_941,0.0008232458425202733
Feature_182,0.0008231201311063009
Feature_531,0.0008198857770655896
Feature_547,0.0008189199336491357
Feature_267,0.0008186559629677047
Feature_778,0.0008184394805624415
Feature_551,0.0008154007232783374
Feature_243,0.0008151426984519431
Feature_305,0.0008116707920003
Feature_990,0.0008016953696355743
Feature_492,0.0007992295616870499
Feature_325,0.0007988767190601158
Feature_704,0.0007979928224401536
Feature_289,0.0007974896155864752
Feature_834,0.0007919392794649285
Feature_230,0.0007897809439219812
Feature_247,0.0007886721490126249
Feature_827,0.0007877541899699536
Feature_503,0.0007872110791597607
Feature_833,0.0007864073367079366
Feature_652,0.0007842470452751632
Feature_522,0.0007802593626164156
Feature_246,0.000775543752346156
Feature_996,0.0007753437875839288
Feature_116,0.0007719484229786457
Feature_319,0.0007716979385983509
Feature_578,0.0007647122562472975
Feature_879,0.0007631053068737616
Feature_462,0.0007595960843329269
Feature_898,0.00075315894820312
Feature_68,0.0007526374490918291
Feature_580,0.0007502107304427258
Feature_432,0.0007495919436792296
Feature_473,0.0007491847395909785
Feature_1016,0.0007490503952810916
Feature_570,0.0007469291760015816
Feature_589,0.000746635327852212
Feature_703,0.0007423934598406155
Feature_32,0.0007388264174534631
Feature_717,0.0007380877649354842
Feature_458,0.0007373693626561284
Feature_678,0.0007356074223610268
Feature_501,0.0007350702933778108
Feature_189,0.0007314346041064733
Feature_452,0.000729786327295412
Feature_330,0.0007278015164386121
Feature_158,0.0007259898765387241
Feature_3,0.0007257677466980611
Feature_874,0.00072493938358448
Feature_814,0.0007244268322285249
Feature_900,0.0007242223778372471
Feature_940,0.0007234781232548707
Feature_932,0.0007229305049804139
Feature_461,0.0007229074042160151
Feature_509,0.0007221979591558568
Feature_529,0.0007192100968028218
Feature_423,0.000718735001258524
Feature_984,0.0007179273206491819
Feature_203,0.0007168366354614023
Feature_477,0.0007142479470886791
Feature_826,0.0007131149285221429
Feature_608,0.0007126826431138628
Feature_224,0.0007114544245412856
Feature_861,0.0007049982941873319
Feature_254,0.0007038520800673334
Feature_629,0.000699604429573571
Feature_599,0.0006979702242553801
Feature_440,0.0006957728146877265
Feature_721,0.0006937383005913299
Feature_945,0.0006930024785076667
Feature_885,0.0006907661838179061
Feature_271,0.0006877173165736937
Feature_30,0.0006861318359797558
Feature_923,0.0006858642280750346
Feature_233,0.000684544997746899
Feature_418,0.0006776867573187879
Feature_159,0.000677629650614119
Feature_445,0.0006745834631941882
Feature_266,0.0006721692618640462
Feature_858,0.0006693892591431601
Feature_226,0.0006682498157936654
