feature,mean_absolute_shap
Feature_178,0.0001623727082308591
Feature_298,0.0001606170780415808
Feature_705,0.0001600624346787414
Feature_535,0.00015939402766132393
Feature_991,0.00015925031018219183
Feature_772,0.00015922053912931214
Feature_463,0.00015920341023334714
Feature_666,0.00015901232608239827
Feature_168,0.00015838387456819608
Feature_130,0.00015760207474432232
Feature_32,0.0001571662455917593
Feature_712,0.00015706280325842253
Feature_898,0.00015690026991110192
Feature_79,0.00015591237469665187
Feature_1006,0.00015540051326531093
Feature_260,0.00015535480722997193
Feature_903,0.0001552337008576194
Feature_680,0.0001550597465600042
Feature_423,0.00015481027843200227
Feature_528,0.0001541851419804883
Feature_498,0.0001539670039915052
Feature_479,0.00015380074183352972
Feature_858,0.00015353499825596827
Feature_718,0.0001516512235865776
Feature_388,0.00015111914694260285
Feature_885,0.0001510648960506927
Feature_253,0.00015042323983411338
Feature_861,0.00015034576266235568
Feature_52,0.00014932243993050635
Feature_209,0.00014915516012890747
Feature_559,0.00014913490895405142
Feature_990,0.0001488629049690404
Feature_948,0.00014878587758891158
Feature_609,0.0001483123575893643
Feature_349,0.00014774494151507952
Feature_848,0.00014654239694330998
Feature_949,0.00014484970589192744
Feature_227,0.0001442040817803145
Feature_318,0.00014409874263525922
Feature_922,0.0001436537044285615
Feature_648,0.00014294760204921304
Feature_433,0.00014189567274992563
Feature_301,0.00014154810061832841
Feature_331,0.00014134209984516843
Feature_896,0.00014121868006860392
Feature_754,0.00014062561349495372
Feature_965,0.0001405201828759374
Feature_267,0.0001390620395995598
Feature_918,0.00013851758389426863
Feature_358,0.00013700570450475813
Feature_452,0.00013586313465406354
Feature_594,0.00013417548128227707
Feature_738,0.0001328996890580555
Feature_517,0.00013271286557678372
Feature_1012,0.0001325303319556243
Feature_539,0.0001323335049583448
Feature_703,0.0001322586001910053
Feature_692,0.00013215694296695514
Feature_592,0.00013009117644324918
Feature_286,0.00013004098413608675
Feature_831,0.0001286196794569147
Feature_952,0.00012860528377865707
Feature_681,0.0001279187071592035
Feature_101,0.00012768315980768812
Feature_675,0.00012713424120283965
Feature_225,0.00012676377678856327
Feature_523,0.00012635170359280546
Feature_118,0.00012555877398758792
Feature_600,0.0001240840783726469
Feature_821,0.00012375622058967292
Feature_472,0.00012248250259277703
Feature_25,0.00012206526159230572
Feature_38,0.00012196494088375688
Feature_544,0.00012136806219712856
Feature_938,0.00012058291783736196
Feature_442,0.00011985520562432017
Feature_1002,0.0001192512801096825
Feature_255,0.00011915686426426646
Feature_63,0.0001182496388837763
Feature_412,0.00011769013828668399
Feature_864,0.00011763164614719555
Feature_519,0.00011762174670923502
Feature_999,0.00011708552560225487
Feature_303,0.00011608806757794238
Feature_622,0.00011535049674318154
Feature_71,0.00011512512200711183
Feature_924,0.00011496996859438226
Feature_606,0.00011272491542673045
Feature_470,0.0001122969157025594
Feature_340,0.0001122213943082158
Feature_950,0.00011187689017960169
Feature_521,0.00011157640606154472
Feature_218,0.00011155503163847697
Feature_282,0.00011131495988084732
Feature_462,0.00011088495251867201
Feature_1023,0.0001108121284979148
Feature_489,0.00011060208856859064
Feature_546,0.0001088601756323159
Feature_171,0.00010872615148603387
Feature_359,0.00010833333681616752
Feature_684,0.0001074321933266645
Feature_906,0.00010680613239600085
Feature_55,0.00010600191284529182
Feature_254,0.00010568313034180581
Feature_293,0.00010519032306682747
Feature_763,0.00010499299643970519
Feature_549,0.00010361248762944473
Feature_488,0.00010327820437680854
Feature_604,0.00010324133543529682
Feature_170,0.00010263889985287168
Feature_363,0.00010253997646642679
Feature_798,0.00010205321197858412
Feature_1014,0.00010114133911757868
Feature_431,0.00010059254191775035
Feature_895,0.0001004516484275861
Feature_445,0.00010006633594660891
Feature_48,9.879154211441796e-05
Feature_320,9.83975323668198e-05
Feature_993,9.70032894553426e-05
Feature_615,9.629567013338936e-05
Feature_872,9.589840810991454e-05
Feature_88,9.588694471620434e-05
Feature_702,9.52007062642934e-05
Feature_83,9.460479597457418e-05
Feature_659,9.44255655970444e-05
Feature_415,9.406565996019228e-05
Feature_258,9.379034218849254e-05
Feature_966,9.339738874524533e-05
Feature_812,9.32586142190787e-05
Feature_279,9.309149271006443e-05
Feature_12,9.267914747047993e-05
Feature_777,9.207707113000051e-05
Feature_875,9.183677594268972e-05
Feature_483,9.156486018752049e-05
Feature_627,9.154150987712762e-05
Feature_826,9.137124806669313e-05
Feature_89,9.107221495134605e-05
Feature_677,9.084374780881723e-05
Feature_511,9.075956079156938e-05
Feature_224,9.061266945885214e-05
Feature_811,9.058573852511388e-05
Feature_494,9.056895993063995e-05
Feature_10,8.913003185279523e-05
Feature_374,8.835565303121267e-05
Feature_847,8.742516063775265e-05
Feature_11,8.577029220106745e-05
Feature_428,8.458625722948137e-05
Feature_572,8.440201943687669e-05
Feature_998,8.38084391033481e-05
Feature_97,8.254589514331771e-05
Feature_644,8.192269333164858e-05
Feature_480,8.127633764056629e-05
Feature_568,8.091467356136661e-05
Feature_500,8.011269178202837e-05
Feature_366,7.980986227623816e-05
Feature_711,7.938182836680744e-05
Feature_283,7.934264832680354e-05
Feature_669,7.880652059439508e-05
Feature_157,7.852417251002918e-05
Feature_967,7.841701813562346e-05
